R,VROT,VROT_ERR_MIN,VROT_ERR_MAX
13.12,229.08,216.6,241.56
13.15,200,194,206
13.17,148.13,136.81,159.44
13.44,218,204,232
13.569,190.135,146.541,233.728
13.569,190.135,146.541,233.728
13.61,241.58,235.66,247.5
13.685,196.967,182.4,211.534
13.685,196.967,182.4,211.534
13.78,178.3,164.1,192.51
14.26,211.374,194.631,228.116
14.26,211.374,194.631,228.116
14.4,225,209,241
14.63,131.58,120.82,142.35
15.113,259.059,239.7,278.419
15.113,259.059,239.7,278.419
15.6,235,210,260
15.705,177.105,118.673,235.537
15.705,177.105,118.673,235.537
16.083,319.194,251.561,386.828
16.083,319.194,251.561,386.828
16.197,198.296,133.654,262.938
16.197,198.296,133.654,262.938
16.488,213.225,142.786,283.663
16.488,213.225,142.786,283.663
16.88,232,212,252
17.76,222,189,255
19.52,219.5,189.5,249.5
20.24,202.5,168.5,236.5
25.51226126,177.7027831,162.3074345,193.0981318
25.9747543,275.3636554,262.4132539,288.3140568
26.98419753,213.1992357,200.1316073,226.2668641
28.00568498,260.2135313,247.2378913,273.1891713
29.08421424,225.0119859,208.0857799,241.9381918
29.92629839,248.5678695,236.0768293,261.0589096
31.12153167,201.6990381,185.7633607,217.6347154
31.98610959,239.5667749,225.8417649,253.2917849
32.99755934,198.0160427,182.501708,213.5303775
33.92431729,253.1454758,238.2096004,268.0813513
34.89294132,181.6140327,167.9446929,195.2833725
35.99897337,238.0170074,222.2039493,253.8300655
36.97994615,205.2112561,189.1872826,221.2352296
37.95106986,239.6542762,222.2905507,257.0180016
38.93204253,197.8634083,180.1499289,215.5768877
39.90378163,234.4789818,216.0885812,252.8693824
40.92787421,217.4572153,195.3677551,239.5466756
41.96797387,231.4870075,211.5226459,251.4513692
42.83592112,232.0458548,206.4758001,257.6159095
44.05332521,216.4537066,195.0839493,237.8234638
45.01927594,213.230084,188.7691777,237.6909903
46.08448992,242.1900156,216.9796162,267.4004149
46.86417033,196.77434,173.6207195,219.9279605
48.05714563,243.8242285,216.6313064,271.0171505
